Anzahl Random;Number of Records;Treibstoff (group);Jahr;Latitude;Longitude;Farbe;Marke;Mf Marke Id;Modell;Treibstoff;Point;Wohnviertel Id (Wohnviertel Centroide.Sas7Bdat);Wohnviertel Id;Wohnviertel
157;1;Benzin;2015;47,556104110;7,589728832;Blau;VW;90;Golf;MÑnnlich;0;1;1;Altstadt Grossbasel
115;1;Benzin;2015;47,551734258;7,591713667;Blau;Mini;112;Cooper;Weiblich;0;2;2;VorstÑdte
101;1;Benzin;2015;47,555336607;7,578560114;Blau;Ford;165;Mondeo;Weiblich;0;3;3;Am Ring
137;1;Benzin;2015;47,555336607;7,578560114;Blau;Opel;128;Zafira;MÑnnlich;0;3;3;Am Ring
182;1;Benzin;2015;47,555336607;7,578560114;Blau;Saab;32;9;Weiblich;0;3;3;Am Ring
102;1;Benzin;2015;47,555336607;7,578560114;Blau;Toyota;117;Yaris;Weiblich;0;3;3;Am Ring
251;1;Benzin;2015;47,555336607;7,578560114;Blau;VW;90;Golf;Weiblich;0;3;3;Am Ring
117;1;Benzin;2015;47,555336607;7,578560114;Blau;VW;90;Passat;MÑnnlich;0;3;3;Am Ring
129;1;Benzin;2015;47,552034765;7,619726658;Blau;Opel;128;Astra;MÑnnlich;0;4;4;Breite
198;1;Benzin;2015;47,552034765;7,619726658;Blau;VW;90;Golf;MÑnnlich;0;4;4;Breite
100;1;Benzin;2015;47,547740610;7,605414391;Blau;Fiat;125;500;Weiblich;0;5;5;St. Alban
170;1;Benzin;2015;47,547740610;7,605414391;Blau;Honda;7;Jazz;Weiblich;0;5;5;St. Alban
115;1;Benzin;2015;47,547740610;7,605414391;Blau;Mercedes-Benz;5;A;Weiblich;0;5;5;St. Alban
180;1;Benzin;2015;47,547740610;7,605414391;Blau;Mercedes-Benz;5;C;MÑnnlich;0;5;5;St. Alban
151;1;Benzin;2015;47,547740610;7,605414391;Blau;Peugeot;170;306;Weiblich;0;5;5;St. Alban
447;1;Benzin;2015;47,547740610;7,605414391;Blau;VW;90;Golf;MÑnnlich;0;5;5;St. Alban
143;1;Benzin;2015;47,547740610;7,605414391;Blau;VW;90;Passat;MÑnnlich;0;5;5;St. Alban
230;1;Benzin;2015;47,547740610;7,605414391;Blau;VW;90;Polo;Weiblich;0;5;5;St. Alban
100;1;Benzin;2015;47,543388166;7,592303753;Blau;Audi;1;A3;MÑnnlich;0;6;6;Gundeldingen
143;1;Benzin;2015;47,543388166;7,592303753;Blau;Fiat;125;Punto;MÑnnlich;0;6;6;Gundeldingen
127;1;Benzin;2015;47,543388166;7,592303753;Blau;Ford;165;Focus;Weiblich;0;6;6;Gundeldingen
206;1;Benzin;2015;47,543388166;7,592303753;Blau;Opel;128;Astra;Weiblich;0;6;6;Gundeldingen
